sweetness,body,carbonation,flavor,alcohol,acidity,aroma_intensity,finish,bti_code,is_hard
1.81,8.22,2.12,7.22,5.37,2.56,7.4,5.27,DHMUL,0
1.04,2.27,5.63,7.52,9.05,3.49,7.66,6.27,DLMUH,0
1.63,4.5,7.56,2.75,3.93,4.02,5.32,3.46,DLFCL,0
2.97,8.01,4.0,5.79,4.72,6.27,7.32,5.36,DHMUL,0
3.66,1.79,5.9,7.47,5.78,5.24,4.7,3.69,DLFUL,0
2.68,2.74,5.07,8.15,9.59,5.85,3.07,4.53,DLFUH,0
1.67,6.84,4.47,6.49,10.0,4.13,4.3,1.5,DHFUH,0
7.49,6.93,1.97,2.79,8.91,5.68,4.29,5.19,SHMCH,0
8.31,0.89,6.78,3.07,9.53,7.12,2.88,8.53,SLFCH,0
7.51,1.68,6.19,6.91,10.0,6.26,3.54,4.53,SLFUH,0
2.07,2.37,7.0,7.64,9.35,4.51,5.44,7.99,DLFUL,1
3.65,1.25,7.24,6.57,4.84,7.41,2.87,2.57,DLFUL,0
6.12,7.26,7.71,8.42,4.32,5.6,5.02,5.52,SHFUL,0
3.42,7.03,7.78,6.89,10.0,4.11,7.1,3.43,DHFUH,0
2.24,6.81,3.88,2.34,5.77,5.09,5.06,4.87,DHMCL,0
2.65,6.21,2.62,4.64,4.91,7.18,4.32,6.7,DHMCL,1
9.7,2.48,1.81,7.33,5.06,4.77,4.95,2.83,SLMUL,0
3.41,6.78,7.72,2.93,4.61,3.99,6.35,6.2,DHFCL,1
4.95,7.7,2.36,1.05,9.86,5.06,4.38,6.92,DHMCH,1
2.37,9.23,1.89,3.26,9.79,3.4,5.32,5.01,DHMCH,0
6.54,2.35,2.33,6.93,4.89,5.09,6.33,4.85,SLMUL,0
1.79,2.91,2.42,6.12,10.0,4.28,7.39,2.9,DLMUH,0
8.02,7.82,8.1,3.05,10.0,3.88,2.57,3.42,SHFCH,0
2.26,3.02,7.09,2.54,9.95,5.12,7.26,6.69,DLFCH,0
3.3,8.85,2.9,4.86,8.75,5.7,4.45,4.16,DHMUH,0
8.49,7.62,2.62,7.71,8.48,5.59,5.24,6.34,SHMUH,0
7.27,3.33,9.21,9.5,5.71,5.04,4.67,5.86,SLFUL,0
7.46,5.21,6.87,8.15,4.13,3.74,4.59,6.17,SLFUL,1
3.3,1.0,7.07,5.41,9.55,6.86,6.02,2.57,DLFUH,1
7.07,0.07,3.97,5.29,9.97,5.63,3.94,4.31,SLMUH,1
5.44,10.0,5.24,1.6,8.88,4.68,2.42,5.44,SHFCH,1
3.71,3.61,5.91,2.8,5.61,2.51,4.99,5.41,DLFCL,0
8.29,8.71,6.89,6.98,4.86,4.78,3.49,6.9,SHFUL,0
8.63,6.79,3.09,7.7,3.97,7.85,2.84,5.63,SHMUL,0
7.55,3.33,8.22,8.87,5.97,5.31,5.86,4.77,SLFUL,1
8.06,0.79,7.28,4.28,8.07,2.3,7.84,6.02,SLFCL,1
5.91,1.75,3.67,1.64,9.25,5.79,3.33,4.84,SLMCH,1
7.87,7.42,7.38,8.57,9.48,5.06,5.22,7.75,SHFUH,1
1.51,7.44,7.51,3.64,5.72,4.51,4.68,6.0,DHFCL,0
3.34,1.6,3.43,2.88,8.11,4.94,4.02,5.67,DLMCL,1
6.07,6.04,2.17,5.04,8.74,3.86,1.42,1.72,SHMCH,1
1.16,6.19,3.92,2.85,8.62,4.42,6.34,5.34,DHFCH,1
0.78,6.68,7.24,9.76,10.0,6.93,3.81,3.98,DHFUH,0
7.56,5.61,1.92,5.24,9.67,7.82,5.86,7.17,SHMUH,1
3.09,9.04,5.65,2.13,5.22,4.06,5.04,4.1,DHMCL,1
3.01,7.64,7.1,2.17,7.71,5.63,4.86,4.01,DHFCL,1
2.55,2.03,2.96,3.2,5.08,6.14,5.34,5.8,DLMCL,0
5.6,8.53,2.21,7.75,9.31,5.69,4.44,7.47,SHMUH,1
2.76,2.98,0.76,3.43,5.27,3.33,4.29,5.4,DLMCL,0
2.1,7.6,2.08,7.07,8.89,3.27,5.09,5.46,DHMUH,0
6.78,2.55,4.59,6.65,9.35,5.7,3.86,2.51,SLMUH,1
2.42,2.44,8.8,6.42,8.34,5.92,5.0,5.17,DLFUL,1
5.79,7.11,10.0,2.09,9.77,3.85,5.79,6.31,SHFCH,1
1.88,1.31,6.44,0.67,5.44,7.71,7.14,2.56,DLFCL,0
2.5,9.22,0.18,0.5,4.67,5.02,6.04,5.71,DHMCL,0
3.3,4.72,7.44,7.56,6.01,5.87,5.12,4.95,SHFUL,1
3.96,2.57,3.31,5.85,5.88,6.18,4.94,5.97,DLMUL,0
1.57,2.29,1.55,2.16,5.5,2.41,5.65,5.36,DLMCL,0
3.07,7.6,8.57,2.44,9.53,5.76,4.01,3.94,DHFCH,0
7.49,0.15,7.95,8.65,5.22,5.88,4.38,2.21,SLFUL,0
3.25,7.73,4.46,1.27,7.64,7.23,3.41,3.02,DHMCL,1
3.41,1.3,7.21,1.91,5.1,4.04,4.59,4.65,DLFCL,0
6.24,7.53,3.53,1.99,5.21,6.78,4.77,5.83,SHMCL,1
2.21,7.04,0.34,8.18,8.76,5.09,3.79,4.42,DHMUH,0
6.29,2.8,2.66,3.46,9.42,6.19,4.74,5.65,SLMCH,0
8.28,3.1,6.95,5.63,7.03,4.5,5.01,5.25,SLFUL,1
3.11,2.9,1.39,3.24,8.9,3.18,4.21,5.51,DLMCH,1
3.23,1.18,7.5,7.74,5.69,2.62,5.05,3.37,DLFUL,0
1.97,1.15,5.23,3.68,9.35,3.89,6.85,4.12,DLFCH,1
2.01,0.69,6.9,1.41,4.13,7.58,5.41,5.57,DLFCL,0
5.43,3.16,8.98,2.3,9.26,5.11,4.06,4.14,SLFCH,1
7.7,7.68,2.43,6.47,9.06,4.41,8.1,2.98,SHMUH,0
1.07,9.14,2.48,2.82,9.26,2.5,4.79,5.5,DHMCH,0
8.73,1.69,6.11,3.44,5.3,4.07,2.63,3.88,SLFCL,0
8.37,2.48,4.56,9.18,9.32,3.77,3.31,4.5,SLFUH,0
1.08,7.94,2.96,0.97,5.14,6.1,5.56,5.95,DHMCL,0
2.18,2.33,1.12,7.41,5.18,7.78,5.13,1.5,DLMUL,0
1.48,2.99,6.22,8.81,9.75,3.76,6.21,8.36,DLFUH,0
8.88,8.03,7.42,3.29,8.81,2.23,5.65,3.49,SHFCH,0
1.82,7.49,8.43,1.73,5.99,3.97,3.98,7.31,DHFCL,0
2.08,2.84,2.52,3.27,9.9,5.25,2.95,7.69,DLMCH,0
1.2,6.33,1.81,4.39,8.28,4.98,5.47,4.58,DHMCH,1
4.63,7.18,4.04,0.75,5.06,6.87,3.37,5.5,SHMCL,1
8.18,2.63,3.17,3.25,9.6,4.67,7.3,4.28,SLMCH,0
2.89,3.05,7.66,3.52,5.47,4.86,4.3,4.06,DLFCL,1
1.06,3.59,2.4,3.66,9.38,4.8,3.18,6.14,DLMCH,0
5.87,3.52,0.0,7.1,10.0,4.51,5.13,6.14,SLMUH,0
2.28,2.74,2.68,1.42,5.05,5.34,8.78,7.82,DLMCL,0
1.1,3.55,7.44,5.23,9.61,4.39,4.16,3.89,DLFUH,0
2.5,8.55,3.69,2.7,4.7,5.73,4.21,5.0,DHMCL,0
7.26,7.94,3.13,2.89,9.39,3.9,6.65,5.52,SHMCH,0
6.45,8.08,8.1,1.6,4.84,2.21,4.26,5.6,SHFCL,0
7.8,9.11,3.71,7.87,4.41,6.59,2.75,7.4,SHMUL,0
1.78,3.21,5.26,1.75,9.01,5.12,4.7,4.79,DLFCH,0
3.27,2.94,2.96,7.78,5.03,6.04,6.4,6.37,DLMUL,0
6.39,3.22,0.0,8.17,8.38,4.21,3.03,4.68,SLMUH,0
1.5,7.39,2.46,1.14,8.05,3.89,6.39,5.05,DHMCL,1
8.86,1.46,1.79,5.81,6.53,4.39,2.09,4.53,SLMCL,1
2.8,8.39,2.01,2.31,4.57,1.02,2.93,2.28,DHMCL,0
6.63,7.45,3.69,5.26,4.85,4.68,4.01,4.49,SHFUL,1
5.29,7.92,6.6,3.19,9.05,3.52,5.23,8.54,SHFCH,0
3.22,3.35,7.27,7.3,9.11,5.25,4.21,4.35,DLFUH,0
7.31,6.95,8.08,7.59,8.89,7.21,6.64,7.38,SHFUH,0
6.74,7.37,6.83,2.48,8.88,3.08,6.83,3.55,SHFCH,0
5.72,3.91,7.66,2.46,8.88,6.15,5.0,3.97,SLFCH,0
4.97,1.93,6.32,2.31,10.0,5.27,7.24,3.88,DLFCH,1
7.19,3.17,3.75,1.46,10.0,5.1,8.74,4.45,SLMCH,1
2.33,4.61,0.67,8.0,9.15,4.04,4.58,6.0,DLMUH,1
8.4,2.77,4.74,8.93,4.82,4.52,5.7,3.74,SLMUL,0
1.79,8.07,7.28,7.71,9.55,3.82,4.61,5.22,DHFUH,0
4.92,5.46,7.61,1.41,5.2,7.42,4.26,5.59,SHFCL,1
3.84,6.44,7.48,7.55,9.67,6.04,5.13,6.64,DHFUH,1
7.19,1.9,9.21,2.72,5.48,5.19,4.12,5.02,SLFCL,0
9.75,9.74,4.13,3.78,9.45,6.75,4.86,2.67,SHMCH,0
8.55,5.71,5.23,8.2,3.92,5.64,4.69,5.19,SLFUL,0
2.25,6.5,6.92,8.11,8.08,4.42,6.75,4.74,DHFUH,1
6.78,6.63,6.79,3.32,9.21,8.37,5.62,3.48,SHFCH,0
2.36,2.42,2.16,2.01,10.0,7.08,5.67,4.84,DLMCH,0
1.3,6.88,3.81,7.73,9.35,3.81,2.94,6.7,DHMUH,0
7.73,4.14,8.69,2.13,9.9,2.5,4.32,6.57,SLFCH,1
1.7,2.71,7.89,4.7,8.75,5.3,5.73,4.61,DLFCL,1
2.98,2.95,3.17,2.4,4.75,4.88,2.47,2.83,DLMCL,0
7.21,2.82,5.44,6.74,5.03,3.53,4.38,4.61,SLMUL,1
5.03,1.28,6.68,1.35,9.25,5.65,5.18,7.96,SLFCH,1
3.54,5.87,2.09,2.39,4.9,2.66,6.45,7.28,DHMCL,1
7.22,0.96,4.62,5.28,4.97,7.65,5.8,3.63,SLFUL,1
5.21,5.82,6.71,7.6,4.42,2.51,6.23,4.29,SHFUL,1
7.92,3.76,6.94,2.51,3.57,5.78,1.67,7.2,SLFCL,1
2.32,1.8,1.52,7.01,10.0,5.22,3.81,2.26,DLMUH,0
4.65,7.29,2.97,4.29,9.0,5.16,1.59,4.55,DHMUH,1
7.22,6.53,7.22,2.73,5.19,7.82,4.0,4.89,SHFCL,0
5.85,1.22,2.08,1.98,5.49,5.36,2.34,5.77,SLMCL,0
1.93,2.31,1.49,3.33,10.0,6.11,5.81,5.11,DLMCH,0
1.98,1.69,3.79,3.26,9.08,5.06,4.55,3.31,DLMCH,0
2.32,1.21,7.29,2.86,9.45,2.67,7.83,6.51,DLFCH,0
3.1,3.56,1.39,8.53,8.63,3.47,3.85,5.17,DLMUH,1
7.68,8.66,3.34,7.37,8.4,6.07,5.22,5.64,SHMUH,0
7.73,1.71,3.4,1.88,8.98,4.19,6.61,4.8,SLMCH,0
2.81,7.87,3.86,8.66,5.46,2.87,3.96,3.49,DHMUL,0
1.52,1.15,2.27,1.74,9.62,2.9,6.22,5.17,DLMCH,0
0.37,6.48,8.03,2.61,5.11,7.93,3.1,4.96,DHFCL,0
6.74,3.59,9.71,2.38,3.68,4.18,6.85,5.83,SLFCL,0
6.5,1.22,6.92,7.63,9.05,4.5,2.17,4.44,SLFUH,0
1.93,7.72,8.43,6.34,5.01,3.33,3.52,4.16,DHFUL,0
2.04,8.1,8.64,5.2,9.22,4.38,5.88,3.98,DHFCH,0
5.93,6.78,1.92,2.13,4.17,4.06,3.91,6.16,SHMCL,0
9.32,0.98,8.53,1.48,5.06,4.64,3.56,3.53,SLFCL,0
6.24,2.71,2.35,3.05,9.42,5.31,2.83,5.74,SLMCH,1
2.75,7.83,3.74,3.72,9.23,5.29,2.2,5.15,DHMCH,0
2.16,5.82,8.34,1.26,9.37,5.97,6.26,2.34,DHFCH,0
1.29,8.14,7.25,5.12,8.12,4.64,4.29,6.43,DHFCH,1
1.22,7.3,7.71,7.89,10.0,5.87,5.82,3.81,DHFUH,0
2.82,2.4,4.59,4.07,5.23,3.86,3.33,6.79,DLMCL,0
3.76,6.65,7.0,9.31,5.14,4.6,6.08,6.51,DHFUL,0
0.85,6.83,6.0,0.81,9.57,5.84,5.66,5.9,DHFCH,0
9.34,7.3,2.88,2.71,5.71,3.86,4.16,4.97,SHMCL,1
3.18,1.25,1.58,9.05,9.67,4.13,4.81,6.63,DLMUH,0
6.57,1.5,7.54,2.67,3.89,4.73,5.02,4.68,SLFCL,0
8.65,1.16,3.64,7.53,9.02,5.06,4.5,2.21,SLFUL,1
3.14,9.04,5.43,3.84,8.87,3.38,6.13,2.74,DHFCH,1
8.28,4.01,6.51,5.87,5.1,6.4,5.59,5.69,SLFUL,1
2.85,3.97,6.12,6.59,5.0,5.02,5.6,4.36,DLMUL,1
2.99,7.39,8.05,2.73,5.72,5.11,4.75,6.64,DHFCL,0
8.15,6.01,2.55,2.38,5.7,4.73,3.96,4.24,SHMCL,0
4.19,3.6,6.44,8.3,5.54,5.47,6.7,5.28,DLFUL,0
4.46,3.4,0.69,5.11,9.16,7.24,5.04,6.59,DLMCH,0
7.57,8.6,1.7,8.59,9.56,8.49,5.48,4.85,SHMUH,0
6.08,6.68,7.59,1.32,4.93,6.59,3.05,4.69,SHFCL,0
7.28,4.81,5.52,6.64,8.76,6.71,6.5,4.27,SLFUH,1
1.38,6.26,0.45,6.4,8.95,4.31,7.54,4.6,DHMUH,0
6.42,7.0,6.41,7.21,4.72,4.51,6.42,3.82,SHFUL,1
1.65,2.21,1.04,1.91,5.19,6.81,3.91,4.02,DLMCL,0
2.11,1.12,3.14,2.28,4.12,3.48,5.47,6.26,DLMCL,0
9.3,9.58,2.59,1.68,9.32,6.31,4.23,5.36,SHMCH,0
6.88,6.43,2.15,1.4,5.19,3.27,6.07,3.23,SHMCL,0
3.8,3.45,6.15,3.36,9.81,2.49,1.9,6.56,DLFCH,0
7.08,2.46,1.2,2.49,8.85,4.41,6.39,5.38,SLMCH,0
6.77,1.28,1.09,5.16,4.37,5.94,2.6,2.95,SLMUL,0
3.81,2.93,5.9,7.71,9.54,4.17,4.3,5.58,DLFUH,1
8.11,2.29,5.65,2.04,5.25,3.36,5.95,6.36,SLFCL,0
7.39,2.61,8.35,3.88,5.0,6.22,3.95,6.15,SLFCL,0
6.81,1.82,8.95,8.27,4.77,4.84,4.85,5.05,SLFUL,0
2.5,5.13,2.25,7.29,5.25,5.87,3.76,6.08,DLMUL,1
8.15,2.16,0.63,7.44,8.75,7.49,4.13,6.02,SLMUH,0
0.84,2.49,6.55,6.45,9.66,4.18,3.17,6.99,DLFUH,0
3.04,6.79,3.87,2.02,9.55,5.0,5.61,7.43,DHMCL,1
1.91,2.42,6.12,7.98,8.2,3.01,6.09,4.92,DLFUL,1
7.06,2.02,3.29,4.0,4.72,4.36,5.47,4.63,SLMCL,0
7.25,9.14,7.36,2.34,8.76,2.55,4.75,5.54,SHFCH,0
7.13,6.7,8.3,0.86,8.7,4.11,6.02,6.85,SHFCH,0
5.15,2.72,2.9,6.12,4.81,3.35,6.0,5.02,SLMUL,1
7.92,3.09,4.22,2.18,9.11,2.75,7.33,5.63,SLMCH,0
6.81,3.43,4.64,2.71,10.0,6.55,4.09,5.04,SLMCH,0
4.99,2.07,1.93,5.73,5.84,6.45,8.63,2.92,DLMUL,0
6.63,7.59,1.6,7.17,6.29,5.14,3.22,5.27,SHMUL,0
8.5,2.54,2.44,5.56,9.54,6.27,4.65,6.76,SLMUH,0
6.39,5.74,6.85,6.05,4.63,6.12,4.44,5.53,SHFUL,0
7.41,6.27,9.06,8.65,4.98,3.27,7.3,4.45,SHFUL,0
5.94,2.39,8.32,6.12,9.66,6.18,2.24,4.59,SLFUH,0
3.28,3.81,9.36,7.28,9.7,5.09,7.6,1.83,DLFUH,1
1.4,4.73,6.13,8.28,8.63,7.72,3.97,5.33,DHFUL,1
6.97,7.65,1.16,2.25,9.93,5.91,3.82,3.25,SHMCH,0
6.06,9.53,2.8,7.98,4.2,5.0,5.76,4.62,SHMUL,0
3.35,8.05,6.75,5.94,5.89,3.75,5.22,4.71,DHFUL,1
8.67,2.86,2.76,8.19,6.03,5.26,4.83,7.26,SLMUL,0
3.72,2.88,8.72,6.83,9.01,5.02,4.94,4.72,DLFUH,0
4.13,4.52,6.69,8.03,5.34,5.58,5.6,5.46,DLFUL,0
8.31,1.59,2.03,3.42,8.45,3.02,4.66,3.87,SLMCH,0
8.61,6.65,7.76,2.76,5.29,5.51,3.73,2.98,SHFCL,0
3.1,3.68,7.9,9.29,9.08,2.24,6.07,3.84,DLFUH,0
3.59,6.19,3.3,6.8,5.96,6.12,3.49,3.62,DHMUL,0
8.19,4.25,8.63,5.51,4.09,3.73,2.61,5.07,SLFUL,0
3.13,7.49,1.12,2.18,5.22,5.92,4.79,7.3,DHMCL,0
9.22,8.16,6.94,7.43,4.98,3.85,3.85,6.52,SHFUL,0
3.89,1.72,7.59,8.46,9.03,4.98,4.94,3.03,DLFUH,0
2.96,2.72,7.27,7.46,4.57,5.92,4.93,5.25,DLFUL,0
1.7,7.8,1.77,1.87,5.46,4.94,7.61,4.28,DHMCL,0
3.04,4.35,7.22,4.6,10.0,4.17,4.91,6.74,DLFCH,1
7.61,8.59,2.8,7.07,9.54,5.12,4.86,3.02,SHMUH,0
1.23,2.81,7.04,7.69,9.59,5.58,5.75,4.48,DLFUH,0
7.71,3.26,7.22,4.32,4.47,5.33,4.95,4.85,SLFCL,0
7.95,7.4,2.75,2.58,9.4,4.56,4.36,5.35,SHMCH,0
8.37,2.38,6.0,6.76,4.92,5.58,5.49,6.68,SLFUL,1
7.1,0.92,8.24,7.3,9.85,3.77,5.04,4.85,SLFUH,1
2.7,2.62,5.48,7.42,4.6,3.22,7.15,5.76,DLFUL,0
3.17,2.9,2.46,7.15,10.0,6.74,6.63,3.22,DLMUH,0
9.41,7.22,3.74,7.54,5.25,5.1,6.27,3.97,SHMUL,0
2.09,4.22,0.38,7.63,10.0,3.66,4.76,4.4,DLMUH,0
7.56,4.4,3.17,2.65,9.28,2.99,6.01,4.15,SLMCH,1
2.09,1.99,1.69,3.12,5.68,4.83,3.74,3.76,DLMCL,0
1.72,1.87,6.44,1.45,4.91,3.17,6.26,3.62,DLFCL,0
7.64,7.86,5.75,3.08,7.99,7.59,7.29,5.59,SHFCH,1
2.34,8.07,8.09,8.38,8.57,5.09,4.6,4.87,DHFUH,0
7.52,1.22,8.61,7.0,4.61,6.92,6.74,6.7,SLFUL,0
6.77,8.42,2.39,2.25,5.34,3.06,5.53,7.87,SHMCL,0
1.95,7.4,7.91,7.09,9.39,4.72,4.52,4.34,DHFUH,0
2.07,7.6,4.49,7.08,4.6,4.17,7.49,0.78,DHMUL,0
6.78,7.57,9.42,7.15,5.23,2.65,7.28,4.28,SHFUL,0
6.51,7.54,0.0,7.18,9.45,2.96,7.27,4.11,SHMUH,0
6.71,7.29,2.83,2.68,10.0,5.67,6.99,4.46,SHMCH,0
1.59,6.42,7.7,7.16,10.0,4.72,5.09,2.92,DHFUH,0
2.19,2.33,8.46,2.47,5.32,4.71,4.49,2.89,DLFCL,0
6.37,7.55,2.21,1.03,9.48,4.52,3.24,4.44,SHMCH,0
6.96,2.5,6.93,7.28,8.79,5.74,5.26,2.58,SLFUH,0
4.28,8.63,2.14,2.85,4.41,5.68,5.0,3.88,DHMCL,1
6.97,3.15,6.17,0.69,9.36,2.65,7.28,2.71,SLFCH,0
3.8,3.6,7.35,0.07,9.73,7.21,6.85,5.69,DLFCH,0
7.81,1.3,7.28,8.43,8.74,3.39,4.9,8.2,SLFUH,0
8.03,2.81,7.56,7.64,5.27,4.56,4.64,7.56,SLFUL,0
3.94,2.06,1.77,1.95,9.18,4.86,3.75,1.97,DLMCH,1
6.19,8.74,6.67,6.61,10.0,4.36,4.55,7.56,SHFUH,1
8.98,1.58,3.08,8.28,10.0,3.89,7.15,5.03,SLMUH,0
6.6,9.28,5.11,2.08,9.85,2.97,3.99,5.16,SHMCH,1
4.91,6.91,7.9,2.06,10.0,4.91,7.58,4.2,DHFCH,0
2.01,7.92,2.4,1.85,4.6,3.93,3.68,8.42,DHMCL,0
7.31,9.07,3.78,2.68,9.66,3.69,4.89,4.6,SHMCH,1
0.35,2.34,1.44,1.97,4.47,4.86,2.36,2.8,DLMCL,0
6.21,7.53,3.97,4.3,9.62,6.71,5.13,6.92,SHMCH,1
9.48,8.08,2.47,2.69,5.44,4.86,6.71,3.68,SHMUL,1
7.22,7.25,7.99,1.42,4.02,4.48,6.15,7.53,SHFCL,0
2.1,5.05,9.14,5.47,5.01,4.56,4.8,5.34,DHFCL,1
2.05,1.27,1.22,2.67,5.95,5.24,4.82,5.43,DLMCL,0
2.47,1.94,7.8,8.49,4.5,4.99,6.3,2.1,DLFUL,0
2.02,9.39,7.5,0.26,5.21,7.92,7.36,7.75,DHFCL,0
6.93,6.88,3.83,2.83,4.87,5.75,1.84,4.94,SHMCL,0
5.56,6.15,7.37,1.08,9.27,4.48,6.27,4.33,DHFCH,0
1.88,6.85,1.79,6.22,4.1,4.71,4.11,6.66,DHMUL,0
2.51,5.98,6.55,7.81,4.96,4.06,5.11,6.35,DLFUL,1
3.01,8.53,4.42,2.3,10.0,6.39,3.17,4.56,DHFCH,0
3.08,8.23,6.84,1.45,4.66,4.07,6.18,6.46,DHFCL,0
1.51,2.25,3.28,2.93,7.97,4.8,2.94,4.64,DLMCL,1
4.98,8.25,8.34,0.96,5.18,6.01,3.45,5.01,DHFCL,1
3.65,7.07,4.57,4.62,9.67,5.83,6.79,3.22,DHMCH,0
8.55,3.34,8.98,2.31,3.77,4.72,6.22,3.55,SLFCL,0
0.91,1.96,9.54,6.87,4.86,3.68,5.5,3.9,DLFUL,0
8.6,6.91,7.36,6.41,5.85,5.59,3.94,4.83,SHFUL,0
2.52,8.5,2.65,4.09,8.86,4.99,6.01,4.71,DHMCH,0
9.06,8.25,3.02,9.38,9.44,5.09,4.98,7.32,SHMUH,0
1.93,3.6,6.43,4.21,9.56,3.45,5.11,3.24,DLFCL,1
10.0,3.72,6.93,3.13,9.9,3.61,3.11,4.91,SLFCH,0
2.83,8.32,1.02,6.75,9.53,5.95,7.13,4.68,DHMUH,0
4.75,7.46,7.19,1.68,5.65,4.51,4.73,4.43,SHFCL,0
5.94,2.2,2.6,2.41,5.47,5.52,6.0,3.97,SLMCL,0
5.89,7.92,3.05,2.37,8.77,7.64,3.4,5.99,SHMCH,0
1.69,8.26,9.63,7.44,4.19,2.98,6.16,4.91,DHFUL,0
3.81,2.72,2.09,3.61,5.26,7.3,5.27,3.16,DLMCL,0
1.7,6.4,8.63,5.62,9.41,6.04,4.0,4.3,DHFUH,1
6.51,1.94,8.06,3.73,8.81,4.23,5.15,4.72,SLFCH,0
4.83,3.13,1.91,3.19,10.0,2.56,3.74,4.64,DLMCH,0
3.06,1.8,3.04,6.99,9.78,5.57,5.1,6.19,DLMUH,0
8.7,7.9,2.69,6.5,4.08,3.29,4.94,6.3,SHMUL,0
1.55,7.32,7.95,1.49,4.58,4.48,2.86,4.37,DHFCL,0
1.77,8.59,1.77,1.96,9.71,5.89,6.15,4.87,DHMCH,0
3.39,8.8,3.3,9.35,4.53,1.16,4.33,5.84,DHMUL,0
7.78,2.96,7.86,3.2,9.57,6.46,2.63,5.67,SLFCL,1
3.2,3.81,6.84,2.82,8.79,6.0,4.97,5.42,DLFCH,0
6.44,2.76,6.54,2.19,10.0,4.3,4.57,3.59,SLFCH,0
8.78,7.5,7.63,0.96,9.89,4.61,5.7,5.35,SHFCH,0
3.69,0.0,6.88,3.53,4.81,2.8,3.36,6.54,DLFCL,0
5.59,7.66,6.15,2.12,9.86,8.46,3.38,4.77,SHFCH,0
3.29,4.66,2.43,5.61,5.23,2.22,3.58,7.03,DLMUL,1
8.18,9.29,8.51,6.91,4.4,2.95,7.21,3.83,SHFUL,0
7.48,6.42,1.85,7.2,9.65,5.01,5.32,2.71,SHMUH,0
1.88,8.03,1.42,7.6,8.61,4.65,3.28,4.88,DHMUH,0
9.63,7.34,6.99,5.09,9.56,4.75,6.8,6.11,SHFUH,1
6.45,1.46,1.0,8.85,6.45,4.29,3.02,1.64,SLMUL,0
9.44,6.68,0.0,6.45,9.79,5.04,3.18,2.87,SHMUH,0
8.17,2.72,1.62,7.04,9.23,3.74,5.47,5.63,SLMUH,0
8.55,2.96,1.17,6.17,5.32,2.98,4.66,5.46,SLMUL,0
1.77,7.52,8.3,8.16,10.0,4.27,5.13,6.87,DHFUH,0
2.9,2.23,1.85,9.11,5.63,3.86,5.85,3.89,DLMUL,0
6.43,8.38,2.77,2.91,6.12,5.7,5.99,9.07,SHMCL,0
2.76,6.98,3.26,7.89,5.13,4.94,5.65,5.34,DHMUL,0
2.49,7.45,6.81,6.27,8.5,3.86,5.88,3.56,DHFUH,0
7.01,7.7,7.13,2.99,5.31,6.33,7.14,6.49,SHFCL,0
1.97,8.35,3.58,1.98,9.05,6.11,5.86,2.88,DHMCH,0
6.78,2.7,0.0,1.96,9.65,5.65,4.16,5.7,SLMCL,1
7.75,3.51,7.98,3.72,5.55,7.28,5.54,6.36,SLFCL,0
